,low,mid,high
SPT23,0.029,0.043,0.04
SRD1,0.026,0.018,0.012
STB3,0.022,0.041,0.045
STB4,0.023,0.027,0.023
STB5,0.002,0.008,0.014
STE12,0.002,0.006,0.005
STP1,0.003,0.007,0.024
STP2,0.011,0.017,0.035
STP3,0.017,0.03,0.038
STP4,0.017,0.03,0.038
SUM1,0.004,0.01,0.022
SUT1,0.002,0.013,0.059
SUT2,0.017,0.02,0.03
SWI4,0.006,0.013,0.04
SWI5,0.022,0.015,0.011
TBF1,0.02,0.011,0.004
TBS1,0.002,0.008,0.014
TDA9,0.005,0.019,0.051
TEA1,0.007,0.012,0.046
TEC1,0.019,0.013,0.022
THI2,0.009,0.02,0.012
TOD6,0.016,0.011,0.018
TOS8,0.046,0.045,0.031
TYE7,0.015,0.016,0.023
UGA3,0.006,0.01,0.06
UME6,0.008,0.008,0.015
UPC2,0.038,0.032,0.02
URC2,0.008,0.02,0.027
USV1,0.022,0.026,0.019
XBP1,0.005,0.01,0.018
YAP1,0.014,0.015,0.008
YAP3,0.017,0.026,0.019
YAP5,0.04,0.037,0.013
YAP6,0.014,0.009,0.008
YAP7,0.021,0.026,0.005
YER130C,0.015,0.024,0.02
YER184C,0.002,0.024,0.037
YGR067C,0.028,0.054,0.08
YHP1,0.042,0.05,0.041
YKL222C,0.008,0.024,0.06
YLL054C,0.004,0.018,0.025
YLR278C,0.004,0.014,0.023
YNR063W,0.006,0.013,0.019
YOX1,0.02,0.023,0.003
YPR013C,0.024,0.024,0.017
YPR015C,0.013,0.015,0.011
YPR022C,0.028,0.054,0.08
YPR196W,0.008,0.01,0.024
YRM1,0.003,0.01,0.023
YRR1,0.002,0.012,0.025
ZAP1,0.024,0.02,0.02
ZMS1,0.004,0.015,0.048
